Account Number;Date;Description;Mid;Channel;Debit Amount;Credit Amount
1.45E+12;7 03 2024;MCM InhouseTrf  KE CASHLEZ WORLDWIDE INDONESIA Transfer Fee         202403070853583319;;;361,000,000; -   
1.45E+12;7 03 2024;Pbyrn Merchant ;2284000842;Mandiri B2C; -   ;20,301
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010154;Mandiri B2C; -   ;54,56
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009380;Mandiri B2C; -   ;73,904
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010278;Mandiri B2C; -   ;73,912
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009158;Mandiri B2C; -   ;88,202
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010306;Mandiri B2C; -   ;101,506
1.45E+12;7 03 2024;Pbyrn Merchant ;2284000857;Mandiri B2C; -   ;101,506
1.45E+12;7 03 2024;Pbyrn Merchant ;2278008102;Mandiri B2C; -   ;153,645
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010232;Mandiri B2C; -   ;156,694
1.45E+12;7 03 2024;Pbyrn Merchant ;2284000830;Mandiri B2C; -   ;156,694
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010182;Mandiri B2C; -   ;158,665
1.45E+12;7 03 2024;Pbyrn Merchant ;2273002522;Mandiri B2C; -   ;170,738
1.45E+12;7 03 2024;Pbyrn Merchant ;2278008126;Mandiri B2C; -   ;171,477
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010192;Mandiri B2C; -   ;179,155
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010248;Mandiri B2C; -   ;212,582
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010240;Mandiri B2C; -   ;218,781
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009552;Mandiri B2C; -   ;231,916
1.45E+12;7 03 2024;Pbyrn Merchant ;2278007273;Mandiri B2C; -   ;261,157
1.45E+12;7 03 2024;Pbyrn Merchant ;2284000837;Mandiri B2C; -   ;294,862
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009498;Mandiri B2C; -   ;307,328
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009186;Mandiri B2C; -   ;347,2
1.45E+12;7 03 2024;Pbyrn Merchant ;2278008833;Mandiri B2C; -   ;353,794
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010316;Mandiri B2C; -   ;404,567
1.45E+12;7 03 2024;Pbyrn Merchant ;2288002761;Mandiri B2C; -   ;451,359
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010258;Mandiri B2C; -   ;456,885
1.45E+12;7 03 2024;Pbyrn Merchant ;2278008149;Mandiri B2C; -   ;461,28
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010265;Mandiri B2C; -   ;487,172
1.45E+12;7 03 2024;Pbyrn Merchant ;2270008563;Mandiri B2C; -   ;496
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010141;Mandiri B2C; -   ;502,605
1.45E+12;7 03 2024;Pbyrn Merchant ;2284000836;Mandiri B2C; -   ;502,605
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009308;Mandiri B2C; -   ;503,936
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010301;Mandiri B2C; -   ;513,519
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010244;Mandiri B2C; -   ;581,5
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010170;Mandiri B2C; -   ;640,575
1.45E+12;7 03 2024;Pbyrn Merchant ;2278005424;Mandiri B2C; -   ;673,786
1.45E+12;7 03 2024;Pbyrn Merchant ;2278008815;Mandiri B2C; -   ;679,995
1.45E+12;7 03 2024;Pbyrn Merchant ;2278008868;Mandiri B2C; -   ;679,995
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010179;Mandiri B2C; -   ;692,099
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010153;Mandiri B2C; -   ;715,627
1.45E+12;7 03 2024;Pbyrn Merchant ;2273002521;Mandiri B2C; -   ;758,835
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010185;Mandiri B2C; -   ;773,617
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010287;Mandiri B2C; -   ;791,2
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010173;Mandiri B2C; -   ;868
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010209;Mandiri B2C; -   ;904,657
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010310;Mandiri B2C; -   ;906,66
1.45E+12;7 03 2024;Pbyrn Merchant ;2278007846;Mandiri B2C; -   ;926,704
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010261;Mandiri B2C; -   ;929,284
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010285;Mandiri B2C; -   ;946,255
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010218;Mandiri B2C; -   ;950,101
1.45E+12;7 03 2024;Pbyrn Merchant ;2278007421;Mandiri B2C; -   ;964,824
1.45E+12;7 03 2024;Pbyrn Merchant ;2273002504;Mandiri B2C; -   ;1,090,602
1.45E+12;7 03 2024;Pbyrn Merchant ;2278007861;Mandiri B2C; -   ;1,112,032
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010133;Mandiri B2C; -   ;1,180,480
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010128;Mandiri B2C; -   ;1,183,900
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009503;Mandiri B2C; -   ;1,199,400
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009368;Mandiri B2C; -   ;1,218,561
1.45E+12;7 03 2024;Pbyrn Merchant ;2278005422;Mandiri B2C; -   ;1,225,223
1.45E+12;7 03 2024;Pbyrn Merchant ;2278008103;Mandiri B2C; -   ;1,228,014
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009546;Mandiri B2C; -   ;1,310,715
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010260;Mandiri B2C; -   ;1,366,888
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010315;Mandiri B2C; -   ;1,417,687
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010266;Mandiri B2C; -   ;1,429,950
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009916;Mandiri B2C; -   ;1,472,564
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010234;Mandiri B2C; -   ;1,486,139
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009858;Mandiri B2C; -   ;1,560,416
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009945;Mandiri B2C; -   ;1,639,138
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010231;Mandiri B2C; -   ;1,675,350
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009190;Mandiri B2C; -   ;1,788,621
1.45E+12;7 03 2024;Pbyrn Merchant ;2278008122;Mandiri B2C; -   ;1,813,425
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010142;Mandiri B2C; -   ;2,010,420
1.45E+12;7 03 2024;Pbyrn Merchant ;2278007170;Mandiri B2C; -   ;2,058,118
1.45E+12;7 03 2024;Pbyrn Merchant ;2278008854;Mandiri B2C; -   ;2,161,201
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010140;Mandiri B2C; -   ;2,167,291
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010219;Mandiri B2C; -   ;2,188,598
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010262;Mandiri B2C; -   ;2,189,781
1.45E+12;7 03 2024;Pbyrn Merchant ;2270008743;Mandiri B2C; -   ;2,552,580
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010241;Mandiri B2C; -   ;2,700,270
1.45E+12;7 03 2024;Pbyrn Merchant ;2278007857;Mandiri B2C; -   ;2,735,936
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010174;Mandiri B2C; -   ;2,778,429
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009933;Mandiri B2C; -   ;2,864,733
1.45E+12;7 03 2024;Pbyrn Merchant ;2278008832;Mandiri B2C; -   ;3,051,690
1.45E+12;7 03 2024;Pbyrn Merchant ;2270010273;Mandiri B2C; -   ;3,187,858
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009200;Mandiri B2C; -   ;3,371,809
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009525;Mandiri B2C; -   ;3,536,665
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009453;Mandiri B2C; -   ;3,703,360
1.45E+12;7 03 2024;Pbyrn Merchant ;2273002506;Mandiri B2C; -   ;3,823,695
1.45E+12;7 03 2024;Pbyrn Merchant ;2278008852;Mandiri B2C; -   ;3,879,649
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009455;Mandiri B2C; -   ;4,163,737
1.45E+12;7 03 2024;Pbyrn Merchant ;2278008110;Mandiri B2C; -   ;4,479,763
1.45E+12;7 03 2024;Pbyrn Merchant ;2270009454;Mandiri B2C; -   ;5,128,602
1.45E+12;7 03 2024;Pbyrn Merchant ;2273002540;Mandiri B2C; -   ;5,479,521
