Account Number;Date;Description;Mid;Channel;  Debit Amount  ;  Credit Amount  
1.45E+12;07/03/2024;MCM InhouseTrf  KE CASHLEZ WORLDWIDE INDONESIA Transfer Fee         202403070853583319;;;Rp361.000.000,00; -   
1.45E+12;07/03/2024;Pbyrn Merchant ;2284000842;Mandiri B2C; -   ;Rp20.301,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010154;Mandiri B2C; -   ;Rp5.456,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270009380;Mandiri B2C; -   ;Rp73.904,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010278;Mandiri B2C; -   ;Rp73.912,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270009158;Mandiri B2C; -   ;Rp88.202,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010306;Mandiri B2C; -   ;Rp101.506,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2284000857;Mandiri B2C; -   ;Rp101.506,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2278008102;Mandiri B2C; -   ;Rp153.645,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010232;Mandiri B2C; -   ;Rp156.694,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2284000830;Mandiri B2C; -   ;Rp156.694,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010182;Mandiri B2C; -   ;Rp158.665,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2273002522;Mandiri B2C; -   ;Rp170.738,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2278008126;Mandiri B2C; -   ;Rp171.477,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010192;Mandiri B2C; -   ;Rp179.155,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010248;Mandiri B2C; -   ;Rp212.582,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010240;Mandiri B2C; -   ;Rp218.781,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270009552;Mandiri B2C; -   ;Rp231.916,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2278007273;Mandiri B2C; -   ;Rp261.157,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2284000837;Mandiri B2C; -   ;Rp294.862,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270009498;Mandiri B2C; -   ;Rp307.328,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270009186;Mandiri B2C; -   ;Rp3.472,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2278008833;Mandiri B2C; -   ;Rp353.794,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010316;Mandiri B2C; -   ;Rp404.567,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2288002761;Mandiri B2C; -   ;Rp451.359,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010258;Mandiri B2C; -   ;Rp456.885,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2278008149;Mandiri B2C; -   ;Rp46.128,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010265;Mandiri B2C; -   ;Rp487.172,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270008563;Mandiri B2C; -   ;Rp496,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010141;Mandiri B2C; -   ;Rp502.605,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2284000836;Mandiri B2C; -   ;Rp502.605,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270009308;Mandiri B2C; -   ;Rp503.936,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010301;Mandiri B2C; -   ;Rp513.519,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010244;Mandiri B2C; -   ;Rp5.815,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010170;Mandiri B2C; -   ;Rp640.575,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2278005424;Mandiri B2C; -   ;Rp673.786,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2278008815;Mandiri B2C; -   ;Rp679.995,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2278008868;Mandiri B2C; -   ;Rp679.995,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010179;Mandiri B2C; -   ;Rp692.099,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010153;Mandiri B2C; -   ;Rp715.627,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2273002521;Mandiri B2C; -   ;Rp758.835,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010185;Mandiri B2C; -   ;Rp773.617,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010287;Mandiri B2C; -   ;Rp7.912,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010173;Mandiri B2C; -   ;Rp868,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010209;Mandiri B2C; -   ;Rp904.657,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010310;Mandiri B2C; -   ;Rp90.666,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2278007846;Mandiri B2C; -   ;Rp926.704,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010261;Mandiri B2C; -   ;Rp929.284,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010285;Mandiri B2C; -   ;Rp946.255,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010218;Mandiri B2C; -   ;Rp950.101,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2278007421;Mandiri B2C; -   ;Rp964.824,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2273002504;Mandiri B2C; -   ;Rp1.090.602,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2278007861;Mandiri B2C; -   ;Rp1.112.032,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010133;Mandiri B2C; -   ;Rp1.180.480,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270010128;Mandiri B2C; -   ;Rp1.183.900,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270009503;Mandiri B2C; -   ;Rp1.199.400,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270009368;Mandiri B2C; -   ;Rp1.218.561,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2278005422;Mandiri B2C; -   ;Rp1.225.223,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2278008103;Mandiri B2C; -   ;Rp1.228.014,00
1.45E+12;07/03/2024;Pbyrn Merchant ;2270009546;Mandiri B2C; -   ;Rp1.310.715,00
