Account Number,Date,Description,Mid,Channel,Debit Amount,Credit Amount
1.45001E+12,14/03/2024,Pbyrn Merchant ,2278005410,PT. Bank Mandiri (Persero) Tbk.-B2C, -   , 99.00 
1.45001E+12,14/03/2024,Pbyrn Merchant ,2270010154,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 29,760.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2270009552,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 49,600.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2270010306,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 126,883.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2270010258,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 150,367.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2270010168,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 153,207.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2273002522,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 153,664.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2270010145,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 183,520.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2278007421,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 183,776.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2270010192,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 207,160.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2270010261,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 213,606.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2270009945,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 215,332.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2273002521,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 243,040.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2270010232,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 244,130.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2270010153,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 261,794.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2270008743,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 291,648.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2278008133,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 299,444.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2270010301,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 302,259.00 "
1.45001E+12,14/03/2024,Pbyrn Merchant ,2270010275,PT. Bank Mandiri (Persero) Tbk.-B2C, -   ," 350,542.00 "
