Account Number,Date,Description,Mid,Channel, Debit Amount , Credit Amount 
37601001316302,11/08/2024,OffUs 1 240810 000001999144744 CASHLEZ-N,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 3,540,110 "
37601001316302,11/08/2024,OffUs 1 240810 000001999145406 CASHLEZ-K,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 12,230,810 "
37601001316302,11/08/2024,OffUs 1 240810 000001999244318 CLZ_I CAR,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 3,792,975 "
37601001316302,11/08/2024,OffUs 1 240810 000001999330955 CASHLEZ*S,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 1,582,934 "
37601001316302,11/08/2024,OffUs 1 240810 000001999286539 CASHLEZ-B,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 12,466,244 "
37601001316302,11/08/2024,OffUs 1 240810 000001999341867 CASHLEZ*T,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 274,960 "
37601001316302,11/08/2024,OffUs 1 240810 000001999344971 CASHLEZ*B,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 4,123,132 "
37601001316302,11/08/2024,OffUs 1 240810 000001999444700 CASHLEZ*A,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 3,034,380 "
37601001316302,11/08/2024,OnUs 1 240810 000001999129431 CASHLEZ -,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 402,865 "
37601001316302,11/08/2024,OffUs 1 240810 000001999103032 CASHLEZ -,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 439,936 "
37601001316302,11/08/2024,OffUs 1 240810 000001999107340 CASHLEZ-D,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 1,964,000 "
37601001316302,11/08/2024,OffUs 1 240810 000001999097799 CASHLEZ -,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 4,298,705 "
37601001316302,11/08/2024,OffUs 1 240810 000001999420125 CASHLEZ*P,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 44,582,803 "
37601001316302,11/08/2024,OffUs 1 240810 000001999446803 CASHLEZ*B,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 2,082,827 "
37601001316302,11/08/2024,OffUs 1 240810 000001999448110 CASHLEZ*D,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 9,362,189 "
37601001316302,11/08/2024,OffUs 1 240810 000001999453463 CASHLEZ*B,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 2,209,500 "
37601001316302,11/08/2024,OffUs 1 240810 000001999129431 CASHLEZ -,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 504,748 "
37601001316302,11/08/2024,OffUs 1 240810 000001999227997 CLZ_PT PU,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 2,604,264 "
37601001316302,12/08/2024,OffUs 1 240811 000001999286536 CASHLEZ-D,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 1,126,354 "
37601001316302,12/08/2024,OffUs 1 240811 000001999462685 CASHLEZ*P,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 4,551,570 "
37601001316302,12/08/2024,OffUs 1 240811 000001999464863 CASHLEZ*N,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 1,213,752 "
37601001316302,12/08/2024,OffUs 1 240811 000001999341867 CASHLEZ*T,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 274,960 "
37601001316302,12/08/2024,OffUs 1 240811 000001999097799 CASHLEZ -,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 1,571,200 "
37601001316302,12/08/2024,OffUs 1 240811 000001999246189 CLZ_KOKOM,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 1,669,400 "
37601001316302,12/08/2024,OffUs 1 240811 000001999384670 CASHLEZ*G,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 26,947,062 "
37601001316302,12/08/2024,OffUs 1 240811 000001999344971 CASHLEZ*B,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 8,777,275 "
37601001316302,12/08/2024,OffUs 1 240811 000001999330955 CASHLEZ*S,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 10,512,108 "
37601001316302,12/08/2024,OffUs 1 240811 000001999405836 CASHLEZ*B,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 1,227,500 "
37601001316302,12/08/2024,OffUs 1 240811 000001999451228 CASHLEZ*B,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 1,011,460 "
37601001316302,12/08/2024,OffUs 1 240811 000001999453463 CASHLEZ*B,,PT Bank Rakyat Indonesia MIGS (Persero) Tbk-B2C, -   ," 1,031,100 "
