Account Number,Date,Description,Mid,Channel, Debit Amount , Credit Amount 
889198883,13/08/24 04.14.30,CSZ*RENDANG GADIH  OTOPAY KD  13/08/24 902031582,902031582,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 341,550 "
889198883,13/08/24 04.14.30,CSZ*SHOES FACTORY OUTLET   OTOPAY KD  13/08/24 904035755,904035755,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 1,210,240 "
889198883,13/08/24 04.14.30,CSZ*VALERIN ONLINE OTOPAY KD  13/08/24 905031936,905031936,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 99,850 "
889198883,13/08/24 04.14.30,CSZ*APOTIK GEDANGANOTOPAY KD  13/08/24 906031539,906031539,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 127,968 "
889198883,13/08/24 04.14.30,CSZ*LEGENDS BEACHFRONT RE  OTOPAY KD  13/08/24 908000076,908000076,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 693,000 "
889198883,13/08/24 04.14.30,CSZ*DRAGONFLY VILLAGE  OTOPAY KD  13/08/24 908000116,908000116,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 283,910 "
889198883,13/08/24 04.14.31,CSZ*LULU S VILLA   OTOPAY KD  13/08/24 908000318,908000318,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 34,155 "
889198883,13/08/24 04.14.31,CSZ*HUSKY VAPE COFFEE NUS  OTOPAY KD  13/08/24 908000360,908000360,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 683,100 "
889198883,13/08/24 04.14.31,CSZ*WARUNG SEHAT   OTOPAY KD  13/08/24 908032071,908032071,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 320,760 "
889198883,13/08/24 04.14.31,CSZ*RUKUN MAKMUR   OTOPAY KD  13/08/24 908033863,908033863,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 868,230 "
889198883,13/08/24 04.14.31,CSZ*BALI ICE SKATING AREN  OTOPAY KD  13/08/24 908035124,908035124,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 54,560 "
889198883,13/08/24 04.14.31,CSZ*SADDASA SKIN CARE  OTOPAY KD  13/08/24 908035751,908035751,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 2,165,130 "
889198883,13/08/24 04.14.31,CSZ* BABY KIDS OTOPAY KD  13/08/24 908036882,908036882,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 1,847,736 "
889198883,13/08/24 04.14.31,CSZ*VNSOTOPAY KD  13/08/24 908038516,908038516,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 4,298,762 "
889198883,13/08/24 04.14.31,CSZ*NOEMI BEAUTY SALON OTOPAY KD  13/08/24 908038540,908038540,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 2,673,000 "
889198883,13/08/24 04.14.31,CSZ*CV MITRA SEJATIOTOPAY KD  13/08/24 908038557,908038557,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 792,000 "
889198883,13/08/24 04.14.31,CSZ*FORKETTA BALI  OTOPAY KD  13/08/24 908039746,908039746,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 277,760 "
889198883,13/08/24 04.14.31,CSZ*FISH & CHEAP PLAZA SE  OTOPAY KD  13/08/24 910006964,910006964,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 85,114 "
889198883,13/08/24 04.14.31,CSZ*CHOICE SOUVENIROTOPAY KD  13/08/24 910007178,910007178,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 1,841,400 "
889198883,13/08/24 04.14.31,CSZ*UNHCR INDONESIAOTOPAY KD  13/08/24 910007780,910007780,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 544,500 "
889198883,13/08/24 04.14.31,CSZ*APOTIK EXPOOTOPAY KD  13/08/24 910008002,910008002,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 120,780 "
889198883,13/08/24 04.14.31,CSZ*KINSHAMO   OTOPAY KD  13/08/24 910008259,910008259,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 1,205,601 "
889198883,13/08/24 04.14.31,CSZ*ACG SCHOOL JAKARTA OTOPAY KD  13/08/24 910008440,910008440,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 1,722,600 "
889198883,13/08/24 04.14.31,CSZ*GOERS  OTOPAY KD  13/08/24 910008713,910008713,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 8,265,218 "
889198883,13/08/24 04.14.31,CSZ*INDONESIA SUSHIRO RES  OTOPAY KD  13/08/24 910009109,910009109,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 18,293,656 "
889198883,13/08/24 04.14.31,CSZ*PT. AMBARA KARYA PRAD  OTOPAY KD  13/08/24 912007416,912007416,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 2,683,359 "
889198883,13/08/24 04.14.31,CSZ*GRAMEDIA LIPPO PURI 4  OTOPAY KD  13/08/24 912009388,912009388,PT Bank Negara Indonesia (Persero) Tbk-B2C, -   ," 1,386,916 "
